Rank,Song,Artist,Year,Lyrics
58,meet me halfway,the black eyed peas,2010, i cant go any further than this i want you so badly its my biggest wishi spent my time just thinking thinking thinking bout you every single day yes im really missin missin you and all those things we use to use to use to do hey girl whats up it use it use to be just me and you i spent my time just thinking thinking thinking bout you every single day yes im really missing missing you and all those things we use to use to use to do hey girl whats up whats up whats up whats upcan you meet me halfway right at the borderline is where im gonna wait for you ill be looking out night n day took my heart to the limit and this is where i stay i cant go any further than this i want you so bad its my only wishgirl i travel round the world and even sail the seven seas across the universe i go to other galaxies just tell me where to go just tell me where you wanna to meet i navigate myself myself to take me where you be cause girl i want i i i want you right now i travel uptown town i travel downtown i wanna to have you around round like every single day i love you alway wayscan you meet me half way ill meet you halfway right at the borderline thats where im gonna wait for you ill be looking out night n day took my heart to the limit and this is where ill stay i cant go any further than this i want you so bad its my only wish i cant go any further than this i want you so bad its my only wishlets walk the bridge to the other side just you and i just you and i i will fly ill fly the skies for you and i for you and i i will try until i die for you and i for you and i for for you and i for for you and i for for you and i for you and ican you meet me half way can you meet me half way can you meet me half way can you meet me half waymeet me half way right at the borderline thats where im gonna wait for you ill be looking out night n day took my heart to the limit and this is where ill stay i cant go any further than this i want you so bad its my only wish i cant go any further than this i want you so bad its my only wish 
59,take it off,keha,2010, theres a place downtown where the freaks all come around its a hole in the wall its a dirty free for allwhen the dark off the night comes around thats the time that the animal comes alive looking for something wildand now we lookin like pimps in my gold transam got a water bottle full of whiskey in my handbag got my drunk text on ill regret it in the mornin but tonight i dont give a i dont give a i dont give atheres a place downtown where the freaks all come around its a hole in the wall its a dirty free for alland they turn me on when they take it off when they take it off everybody take it offtheres a place i know if youre looking for a show where they go hardcore and theres glitter on the floorand they turn me on when they take it off when they take it off everybody take it offlose your mind lose it now lose your clothes in the crowd were delirious tear it down til the sun comes back aroundnnow were getting so smashed knocking over trash cans everybody breakin bottles its a filthy hot mess gonna get laid im not the designated driver so i dont give a i dont give a i dont give atheres a place downtown where the freaks all come around its a hole in the wall its a dirty free for alland they turn me on when they take it off when they take it off everybody take it offtheres a place i know if youre looking for a show where they go hardcore and theres glitter on the floorand they turn me on when they take it off when they take it off everybody take it offoh oh oh everybody take it off oh oh oheverybody take it off right now take it off right now take it off right now take it off ohright now take it off right now take it off right now take it off everybody take it offtheres a place downtown where the freaks all come around its a hole in the wall its a dirty free for alland they turn me on when they take it off when they take it off everybody take it offtheres a place i know if youre looking for a show where they go hardcore and theres glitter on the floorand they turn me on when they take it off when they take it off everybody take it off 
60,over,drake,2010, i know way too many people here right now that i didnt know last year who the fuck are yall i swear it feels like the last few nights we been everywhere and back but i just cant remember it allwhat am i doin what am i doin oh yeah thats right im doin me im doin me im livin life right now mayneand this what im a do til its over til its over but its far from overbottles on me long as someone drink it never drop the ball fuck are yall thinkin makin sure the young money ship is never sinkin bout to set it off in this bitch jada pinkett i shouldntve drove tell me how im gettin home you too fine to be layin down in bed alone i could teach you how to speak my language rosetta stone i swear this life is like the sweetest thing ive ever known bout to go thriller mike jackson on these niggas all i needs a fucking red jacket with some zippers super good smiddoke a package of the swishers i did it overnight it couldnt happen any quicker yall know them well fuck it me either but point the biggest skeptic out ill make him a believer it wouldnt be the first time i done it throwin hundreds when i should be throwin ones bitch i run it ahi know way too many people here right now that i didnt know last year who the fuck are yall i swear it feels like the last few nights we been everywhere and back but i just cant remember it allwhat am i doin what am i doin oh yeah thats right im doin me im doin me im livin life right now mayneand this what im a do til its over til its over but its far from overone thing bout music when it hits you feel no pain and i swear i got that shit that make these bitches go insane so they tell me that they love me i know better than that its just game its just what comes with the fame and im ready for that im just sayin but i really cant complain everything is kosher two thumbs up ebert and roeper i really cant see the end getting any closer but i probly still be the man when everything is over so im riding through the city with my high beams on can you see me can you see me get your visine on yall just do not fit the picture turn your widescreen on if you thinkin im a quit before i die dream on man they treat me like a legend am i really this cold im really too young to be feelin this old its about time you admit it who you kiddin man man nobodys never done it like i did it ughi know way too many people here right now that i didnt know last year who the fuck are yall i swear it feels like the last few nights we been everywhere and back but i just cant remember it allwhat am i doin what am i doin oh yeah thats right im doin me im doin me im livin life right now mayneand this what im a do til its over til its over but its far from over yeah thats right im doin me im doin me im livin life right now mayneand this what im a do til its over til its over but its far from over 
61,animal,neon trees,2010, here we go again i kinda wanna be more than friends so take it easy on me im afraid youre never satisfiedhere we go again were sick like animals we play pretend youre just a cannibal and im afraid i wont get out alive no i wont sleep tonightoh oh i want some more oh oh what are you waitin for take a bite of my heart tonight oh oh i want some more oh oh what are you waitin for what are you waitin for say goodbye to my heart tonighthere we are again i feel the chemicals kickin in its gettin heavier i wanna run and hide i wanna run and hide i do it every time youre killin me now and i wont be denied by you the animal inside of youoh oh i want some more oh oh what are you waitin for take a bite of my heart tonight oh oh i want some more oh oh what are you waitin for what are you waitin for say goodbye to my heart tonighthush hush the world is quiet hush hush we both cant fight it its us that made this mess why cant you understand whoa i wont sleep tonight i wont sleep tonighthere we go againoh oh i want some more oh oh what are you waitin for take a bite of my heart tonight oh oh i want some more oh oh what are you waitin for what are you waitin for what are you waitin take a bite of my heart tonightoh oh i want some more oh oh what are you waitin for what are you waitin for say goodbye to my heart tonight 
62,misery,maroon 5,2010, oh yeah oh yeah so scared of breaking it that you wont let it bend and i wrote two hundred letters i will never send sometimes these cuts are so much deeper then they seem youd rather cover up id rather let them bleed so let me be and ill set you freei am in misery there aint nobody who can comfort me why wont you answer me the silence is slowly killing me girl you really got me bad you really got me bad im gonna get you back gonna get you backyour salty skin and how it mixes in with mine the way it feels to be completely intertwined its not that i didnt care its that i didnt know its not what i didnt feel its what i didnt show so let me be and ill set you freei am in misery there aint nobody who can comfort me why wont you answer me your silence is slowly killing me girl you really got me bad you really got me bad im gonna get you back gonna get you backyou say your faith is shaken you may be mistaken you keep me wide awake and waiting for the sun im desperate and confused so far away from you im getting there dont care where i have to runwhy do you do what you do to me yeah why wont you answer me answer me yeah why do you do what you do to me yeah why wont you answer me answer me yeahi am in misery there aint nobody who can comfort me why wont you answer me your silence is slowly killing me girl you really got me bad you really got me bad im gonna get you back gonna get you backgirl you really got me bad you really got me bad im gonna get you back gonna get you backgirl you really got me bad you really got me bad im gonna get you back gonna get you back 
63,magic,bob featuring rivers cuomo,2010, i got the magic in me every time i touch that track it turns into gold everybody knows ive got the magic in me when i hit the flow the girls come snappin at me now everybody wants presto magicmagic magic magic magic magic magic magic magic magic i got the magic in methese tricks that ill attempt will blow your mind pick a verse any verse ill hypnotize you with every line ill need a volunteer how about you with the eyes come on down to the front and stand right here and dont be shy ill have you timetravellin have your mind babblin people tryin to inherit the skill so they askin me even david blaine had to go and take some classes and i see mindfreak like whats up man whats happenin so come one come all and see the show tonight prepare to be astounded no ghost or poltergeist you know im no pinocchio ive never told a lie so call me mr magic man i float on cloud 9i got the magic in me i got the magic baby every time i touch that track it turns into gold yes it turns to gold everybody knows ive got the magic in me i got the magic baby when i hit the flow the girls come snappin at me they be snappin baby now everybody wants some presto magicmagic magic magic magic magic magic magic magic magic i got the magic in mewell take a journey into my mind youll see why its venom i rhyme stay on the road so i call my mama when i got time i hit the stage go insane then jump into that crowd see see when i rhyme i flow on the beat like piddadowdow see i deceive you with my intergalactic ego i sing just like aretha so respect me like im caesar i kick it like adidas flowin sticky like adhesive be cautious cause what i be onll leave you with amnesia i break all the rules like evel knievel its a spectacular show cause my heart pumps diesel so whatever youre saying it dont entertain my ego i do this everyday hocus pocus is my steeloi got the magic in me i got the magic baby every time i touch that track it turns into gold yes it turns to gold everybody knows ive got the magic in me i got the magic baby when i hit the flow the girls come snappin at me they be snappin baby now everybody wants presto magicmagic magic magic magic magic magic magic magic magic i got the magic in me 
64,paparazzi,lady gaga,2010, we are the crowd were ccoming out got my flash on its true need that picture of you its so magical wed be so fantasticalleather and jeans were rock glamorous not sure what it means but this photo of us it dont have a price ready for those flashing lights cause you know that baby iim your biggest fan ill follow you until you love me papapaparazzi baby theres no other superstar you know that ill be your papapaparazzi promise ill be kind but i wont stop until that boy is mine baby youll be famous chase you down until you love me papapaparazziill be a girl backstage at your show velvet ropes and guitars yeah cause youre my rockstar in between the sets eyeliner and cigarettesshadow is burnt yellow dance and we turn my lashes are dry purple teardrops i cry it dont have a price loving you is cherry pie cause you know that baby iim your biggest fan ill follow you until you love me papapaparazzi baby theres no other superstar you know that ill be your papapaparazzi promise ill be kind but i wont stop until that boy is mine baby youll be famous chase you down until you love me papapaparazzireal good were dancing in the studio snap snap to that shit on the radio dont stop for anyone were plastic but we still have funim your biggest fan ill follow you until you love me papapaparazzi baby theres no other superstar you know that ill be your papapaparazzi promise ill be kind but i wont stop until that boy is mine baby youll be famous chase you down until you love me papapaparazzi 
65,tie me down,new boyz featuring ray j,2010, hey hey aye ayecause she aint gon tie me down cause she aint gon tie me downshe aint gon tie me down so why you on the road you wanted all the shirts all the hats all the clothes what you want right now what up right now i think you need to close yo mouth cause you aint gon tie me down tie me down tie me down you aint gon tie me down you aint gon tie me downknow we been together for a minute but a its kinda been forever since we been in the kinda situation not involving other women and its pretty obvious that youre kinda trippin like who the hell is this bitch lookin a hot mess what you fell for this chick you know we got problems and you failed to fix it im like you need to go somewhere else with this shit because i aint gon put up wit you talkin bout how she make you uncomfortable i mean shit im only 17 and um a perfect couples only in a dream and right now im pretty much away for this relationship i think we should wait for it i mean later we can try things out but not right nowshe aint gon tie me down so why you on the road you wanted all the shirts all the hats all the clothes what you want right now what up right now i think you need to close yo mouth cause you aint gon tie me down tie me down tie me down you aint gon tie me down you aint gon tie me downha ha aye girl waddup no im not gon make a scene but you cant tie me down like a pair of shoe strings yea you cute so what but lets get it through your head yea we make love sex weed all in the bed its the best and i love her but things dont change when im not faithful you be feelin ma pain now you stuck like a stain and i cant believe that baby girl one hundredi aint tryna do that got too many girls and i aint letting go cause my life is great and you aint nothin but a hoe yea you come to my shows and you very supportive just showed me a camera and my show recorded it was nice im surprised that you still standin here as you know im a man and i have no feelings ima start from the top girl this aint no lovin im a new boy girl soshe aint gon tie me down so why you on the road you wanted all the shirts all the hats all the clothes what you want right now what up right now i think you need to close yo mouth cause you aint gon tie me down tie me down tie me down you aint gon tie me down you aint gon tie me downshe aint gon tie me down so why you on the road you wanted all the shirts all the hats all the clothes what you want right now what up right now i think you need to close yo mouth cause you aint gon tie me down tie me down tie me down you aint gon tie me down you aint gon tie me down 
66,your love,nicki minaj,2010, shawty im a only tell you this once you the illest bah ba bah bah oh and for your lovin im a die hard like bruce willis bah ba bah bah oh you got spark you you got spunk you you got something all the girls want youre like a candy store and im a toddler you got me wantin more and mo mo more andyour love your love yeahyour love your love yeahyour love your love yeahyour love your love yeahyour love your loveyour love your loveyour love your loveyour love your lovehe the type to pop tags and be cockin the brim might breeze through the ave might stop at the gym and he keep a du rag keep the wave on swim wa waves on swim so they hate on him anyway i think i met him sometime before in a different life or where i record i mean he was adam i think i was eve but my vision ends with the apple on the tree s on my chest cause im ready to save him ready to get buck on anybody that plays him and i think i love em i love em jus like i raised him when he call me momma lil momma i call him babyshawty im a only tell you this once you the illest bah ba bah bah oh and for your lovin im a die hard like bruce willis bah ba bah bah oh you got spark you you got spunk you you got something all the girls want youre like a candy store and im a toddler you got me wantin more and mo mo more andyour love your love yeahyour love your love yeahyour love your love yeahyour love your love yeahyour love your loveyour love your loveyour love your loveyour love your lovehe they type to keep a couple hundred grand in the rubber band just left money gram in the lemon lam hot damn make me scream like summer jam i mean that nigga must be from the motherland anyway i think i met him in the sky when i was a geisha he was a samurai somehow i understood him when he spoke thai never spoke lies and he never broke fly s on my chest lemme get my cape on hes so thugged out ghostface and raekwon konvict just like akon cause you know snitches be puttin the jake onshawty im a only tell you this once you the illest bah ba bah bah oh and for your lovin im a die hard like bruce willis bah ba bah bah oh you got spark you you got spunk you you got something all the girls want youre like a candy store and im a toddler you got me wantin more and mo mo more andyour love your love yeahyour love your love yeahyour love your love yeahyour love your love yeahyour love your loveyour love your loveyour love your loveyour love your lovefind me in the dark ill be in the stars find me in your heart im in need of your love your love your love your love baby your the illest illest illest your love love love your love love love 
67,party in the usa,miley cyrus,2010, i hopped off the plane at lax with a dream and my cardigan welcome to the land of fame excess whoa am i gonna fit in jumped in the cab here i am for the first time look to my right and i see the hollywood signthis is all so crazy everybody seems so famous my tummys turnin and im feelin kinda homesick too much pressure and im nervous thats when the taxi man turned on the radioand the jayz song was on and the jayz song was on and the jayz song was onso i put my hands up theyre playin my song the butterflies fly away im noddin my head like yeah movin my hips like yeahgot my hands up theyre playin my song and now im gonna be okay yeah its a party in the usa yeah its a party in the usaget to the club in my taxi cab everybodys lookin at me now like whos that chick thats rockin kicks shes gotta be from out of townso hard with my girls not around me its definitely not a nashville party cause all i see are stilettos i guess i never got the memomy tummys turnin and im feelin kinda homesick too much pressure and im nervous thats when the dj dropped my favorite tuneand the britney song was on and the britney song was on and the britney song was onso i put my hands up theyre playin my song the butterflies fly away im noddin my head like yeah movin my hips like yeahgot my hands up theyre playin my song and now im gonna be okay yeah its a party in the usa yeah its a party in the usafeel like hoppin on a flight on a flight back to my hometown tonight town tonight something stops me every time every time the dj plays my song and i feel alrightso i put my hands up theyre playin my song the butterflies fly away im noddin my head like yeah movin my hips like yeahgot my hands up theyre playin my song and now im gonna be okay yeah its a party in the usa yeah its a party in the usaso i put my hands up theyre playin my song the butterflies fly away im noddin my head like yeah movin my hips like yeahgot my hands up theyre playin my song and now im gonna be okay yeah its a party in the usa yeah its a party in the usa 
68,deuces,chris brown featuring tyga and kevin mccall,2010, all the bullshits for the birds you aint nothin but a vulture always hopin for the worst waiting for me to fuck up youll regret the day when i find another girl yeah who knows just what i need she knows just what i mean when i tell her keep it drama freeoh oh oh oh oh oh oh oh chuchuckin up the deuces oh oh oh oh oh oh oh oh i told you that im leaving deuces oh oh oh oh oh oh oh oh i know you mad but so what i wish you best of luck and now im bout to throw them deuces upim on some new shit im chuckin my deuces up to her deuces im moving on to something better better better no more tryin to make it work you made me wanna say bye bye say bye bye say bye bye to her you made me wanna say bye bye say bye bye say bye bye to heruh use to be valentines together all the time thought it was true love but you know women lie its like i sent my love with a text two times call cause i care but i aint gettin no reply tryna see eye to eye but its like we both blind fuck it lets hit the club i rarely sip but pour me somecause when its all said and done i aint gon be the one that she can always run to i hate liars fuck love im tired of tryin my heart big but it beat quiet how never feel like we vibin cause every time we alone its a awkward silenceso leave your keys on the kitchen counter and gimme back that ruby ring with the big diamond shit is over what you trippin for i dont wanna have to let you go but baby i think its better if i let you knowim on some new shit im chuckin my deuces up to her deuces im moving on to something better better better no more tryin to make it work you made me wanna say bye bye say bye bye say bye bye to her you made me wanna say bye bye say bye bye say bye bye to herlook my shorty always on some bullshit like chicago so i flip that middle finger and the index finger follow deuces we aint got no future in tomorrow im a dick so it shouldnt be that hard to swallow the other chick im with never complainin she make wanna leave the one im with usher raymondprobably didnt register dont trip later on it will shorty full of drama like gangsta grizzles i finally noticed it it finally hit me like tina did ike in the limo it finally hit me i got a new chick and she aint you she paula patton thick she give me deja vuand all that attitude i dont care about it but all that shit i do for her you gon hear bout it breezy rep two up two down but im just puttin two up chuckin up the deuce nowim on some new shit im chuckin my deuces up to her deuces im moving on to something better better better no more tryin to make it work you made me wanna say bye bye say bye bye say bye bye to her you made me wanna say bye bye say bye bye say bye bye to herdeuces 
69,3,britney spears,2010, one two three not only you and me got one eighty degrees and im caught in between countin one two three peter paul and mary gettin down with 3p everybody loves me ohbabe pick a night to come out and play if its alright what do you saymerrier the more triple fun that way twister on the floor what do you sayare you in livin in sin is the new thing yeah are you in i am countinone two three not only you and me got one eighty degrees and im caught in between countin one two three peter paul and mary gettin down with 3p everybody loves me ohone two three not only you and me got one eighty degrees and im caught in between countin one two three peter paul and mary gettin down with 3p everybody loves me ohthree is a charm two is not the same i dont see the harm so are you gamelets make a team make em say my name lovin the extreme now are you gameare you in livin in sin is the new thing are you in i am countinone two three not only you and me got one eighty degrees and im caught in between countin one two three peter paul and mary gettin down with 3p everybody loves meone two three not only you and me got one eighty degrees and im caught in between countin one two three peter paul and mary gettin down with 3p everybody loves mewhat we do is innocent just for fun and nothin meant if you dont like the company lets just do it you and me you and me or three or four on the floorone two three not only you and me got one eighty degrees and im caught in between countin one two three peter paul and mary gettin down with 3p everybody loves me ohone two three not only you and me got one eighty degrees and im caught in between countin one two three peter paul and mary gettin down with 3p everybody loves me oh 
70,impossible,shontelle,2010, i remember years ago someone told me i should take caution when it comes to love i did i did and you were strong and i was not my illusion my mistake i was careless i forgot i did and now when all is done there is nothing to say you have gone and so effortlessly you have won you can go ahead tell themtell them all i know now shout it from the roof tops write it on the skyline all we had is gone now tell them i was happy and my heart is broken all my scars are open tell them what i hoped would be impossible impossible impossible impossible falling out of love is hard falling for betrayal is worst broken trust and broken hearts i know i know thinking all you need is there building faith on love and words empty promises will wear i know i know and now when all is gone there is nothing to say and if youre done with embarrassing me on your own you can go ahead tell themtell them all i know now shout it from the roof tops write it on the skyline all we had is gone now tell them i was happy and my heart is broken all my scars are open tell them what i hoped would be impossible impossible impossible impossible impossible impossibleooh impossible yeah yeahi remember years ago someone told me i should take caution when it comes to love i didtell them all i know now shout it from the roof top write it on the skyline all we had is gone now tell them i was happy i was happy and my heart is broken all my scars are open tell them what i hoped would be impossible impossible impossible impossible impossible impossiblei remember years ago someone told me i should take caution when it comes to love i did 
71,forever,drake featuring kanye west lil wayne and eminem,2010, it may not mean nothing to yall but understand nothing was done for me so i dont plan on stopping at all i want this shit forever mayne ever mayne ever mayne im shutting shit down at the mall and telling every girl she the one for me and i aint even planning to call i want this shit forever mayne ever mayne ever maynelast name ever first name greatest like a sprained ankle boy aint nothing to play with it started off local but thanks to all the haters i know g4 pilots on a first name basis in your city faded off the brown nino she insists she got more class we know swimming in the money come and find me nemo if i was at the club you know i balled chemo dropped the mixtape that shit sounded like an album whod have thought a country wide tour would be the outcome labels want my name beside the x like malcolm everybody got a deal i did it without one yeah nigga im about my business killing all these rappers you would swear i had a hit list everyone who doubted me is asking for forgiveness if you aint been a part of it at least you got to witness bitchesit may not mean nothing to yall but understand nothing was done for me so i dont plan on stopping at all i want this shit forever mayne ever mayne ever mayne im shutting shit down at the mall and telling every girl she the one for me and i aint even planning to call i want this shit forever mayne ever mayne ever mayneforever ever mr west is in da building aint no question who about to kill em i used to have hood dreams big fame big chains i stuck my dick inside this life until that bitch came i went hard all fall like the ball teams just so i can make it rain all spring yall seen my story my glory i had raped the game young you can call it statutory when a nigga blow up they can build statures of me old money benjamin button what nothin now superbad chicks giving me mclovin you would think i ran the world like michelles husband you would think these niggas would know me when they really doesnt like they was down with the old me no you fucking wasnt youre such a fucking loser he didnt even go to class bueller trade the grammy plaques just to have my granny back remember she had that bad hip like a fanny pack chasing that stardom would turn you into a maniac all the way in hollywood and i cant even act they pull their cameras out and god damn they snap i used to want this thing forever yall can have it backit may not mean nothing to yall but understand nothing was done for me so i dont plan on stopping at all i want this shit forever mayne ever mayne ever mayne im shutting shit down at the mall and telling every girl she the one for me and i aint even planning to call i want this shit forever mayne ever mayne ever mayneok hello its the martian space jam jordans i want this shit forever wake up and smell the garden fresher than the harvest step up to the target if i had one guess than i guess im just new orleans and i will never stop like im running from the cops hopped up in my car and told my chauffeur to the top life is such a fucking roller coaster then it drops but what should i scream for this is my theme park my minds shine even when my thoughts seem dark pistol on my side you dont wanna hear that thing talk let the king talk check the price and pay attention lil wayne thats what they got to say or mention im like nevada in the middle of the summer im resting in the lead i need a pillow and a cover shh my foots sleeping on the gas no brake pads no such thing as lastit may not mean nothing to yall but understand nothing was done for me so i dont plan on stopping at all i want this shit forever mayne ever mayne ever mayne im shutting shit down at the mall and telling every girl she the one for me and i aint even planning to call i want this shit forever mayne ever mayne ever maynethere they go packing stadiums as shady spits his flow nuts they go macadamian they go so ballistic wow we can make them look like bozos hes wondering if he should spit this slow fuck no go for broke his cup just runneth over oh no he aint had a buzz like this since the last time he overdosed theyve been waiting patiently for pinocchio to poke his nose back into the game and they know rap will never be the same as before bashing in the brains of these hoes and establishing a name as he goes the passion and the flame is ignited you cant put it out once we light it this shit is exactly what the fuck im talking about when we riot you dealin with a few true villains whose staying inside of the booth truth spillin and spit true feelings til our tooth fillings come flying up out of our mouths now rewind it payback muthafucka for the way you got at me so hows it taste when i slap the taste out your mouth with the bass so loud that it shakes the place im hannibal lecter so just in case youre thinking of saving face you aint gonna have no face to save by the time im through with this place so drakeit may not mean nothing to yall but understand nothing was done for me so i dont plan on stopping at all i want this shit forever mayne ever mayne ever mayne im shutting shit down at the mall and telling every girl she the one for me and i aint even planning to call i want this shit forever mayne ever mayne ever mayne 
72,two is better than one,boys like girls featuring taylor swift,2010, i remember what you wore on our first date you came into my life and i thought hey you know this could be something cause everything you do and words you say you know that it all takes my breath away and now im left with nothingso maybe its true that i cant live without you well maybe two is better than one theres so much time to figure out the rest of my life and youve already got me coming undone and im thinking two is better than onei remember every look upon your face the way you roll your eyes the way you taste you make it hard for breathing cause when i close my eyes and drift away i think of you and everythings okay im finally now believinand maybe its true that i cant live without you well maybe two is better than one theres so much time to figure out the rest of my life and youve already got me coming undone and im thinking two is better than onei remember what you wore on the first date you came into my life and i thought heymaybe its true that i cant live without you maybe two is better than one theres so much time to figure out the rest of my life and youve already got me coming undone and im thinkingoooh i cant live without you cause baby two is better than one theres so much time to figure out the rest of my life and ive figured out with all thats said and done two is better than onetwo is better than one 
73,my first kiss,3oh3 featuring keha,2010, my first kiss went a little like this mwah mwah and twist mwah mwah and twistwell my first kiss went a little like this and twist and twisti said no more teachers and no more books i got a kiss under the bleachers hoping that nobody looked lips like licorice tongue like candy excuse me miss but can i get you out your pantiesin the back of the car on the way to the bar i got you on my lips i got you on my lips at the foot of the stairs with my fingers in your hair baby this is itshe wont ever get enough once she gets a little touch if i had it my way you know that id make her say ooh ooh she wont ever get enough once she gets a little touch if i had it my way you know that id make her say ooh oohmy first kiss went a little like thisi said no more sailors and no more soldiers with your name in a heart tattooed up on the shoulders your kiss is like whiskey it gets me drunk and i wake up in the morning with the taste of your tonguein the back of the car on the way to the bar i got you on my lips i got you on my lips at the foot of the stairs with my fingers in your hair baby this is itshe wont ever get enough once she gets a little touch if i had it my way you know that id make her say ooh ooh she wont ever get enough once she gets a little touch if i had it my way you know that id make her say ooh oohmy first kiss went a little like this and twist and twist well my first kiss went a little like this and twist and twistyeah she wont ever get enough once she gets a little touch if i had it my way you know that id make her say oohshe wont ever get enough once she gets a little touch if i had it my way you know that id make her say ooh ooh she wont ever get enough once she gets a little touch if i had it my way you know that id make her say ooh oohshe wont ever get enough once she gets a little touch if i had it my way you know that id make her say 
74,already gone,kelly clarkson,2010, remember all the things we wanted now all our memories theyre haunted we were always meant to say goodbye even without fists held high yeah never would have worked out right yeah we were never meant for do or diei didnt want us to burn out i didnt come here to hurt you now i cant stopi want you to know that it doesnt matter where we take this road someones gotta go and i want you to know you couldnt have loved me better but i want you to move on so im already gonelooking at you makes it harder but i know that youll find another that doesnt always make you wanna cry started with a perfect kiss then we could feel the poison set in perfect couldnt keep this love aliveyou know that i love you so i love you enough to let you goi want you to know that it doesnt matter where we take this road someones gotta go and i want you to know you couldnt have loved me better but i want you to move on so im already goneim already gone im already gone you cant make it feel right when you know that its wrong im already gone already gone theres no moving on so im already gonealready gone already gone already goneoh ohalready gone already gone already goneyeahremember all these things we wanted now all our memories theyre haunted we were always meant to say goodbyei want you to know that it doesnt matter where we take this road someones gotta go and i want you to know you couldnt have loved me better but i want you to move on so im already goneim already gone im already gone you cant make it feel right when you know that its wrong im already gone already gone theres no moving on so im already gone 
75,rock that body,the black eyed peas,2010,i wanna rock right now i wanna i wanna rock right now i wanna i wanna rock right now now now rock right now i wanna i wanna rock right now i wanna i wanna rock right now i wanna i wanna rock right now i wanna dance i wanna dance in the light i wanna rock i wanna rock your body i wanna go i wanna go for a ride hop in the music and rock your body right rock that body come on come on rock that body rock your body rock that body come on come on rock that body rock that body come on come on rock that body rock your body rock that body come on come on rock that body let me see your body rock shakin from the bottom to the top freak to what the dj drop we be the ones to make it hot to make it hot electric shock energy like a billion watts space be boomin the speakers pop galactic comb we missed a spot we bumpin your parkin lot when you comin up in the spot dont bring nothing we call pink dot cause we burnin around the clock hit the lights and then turn them off if you bring that dont make it soft like the jungle we run the block no one rollin the way we rock way we rock i wanna i wanna rock right now i wanna i wanna rock right now i wanna i wanna rock right now i wanna dance i wanna dance in the light i wanna rock i wanna rock your body i wanna go i wanna go for a ride hop in the music and rock your body right rock that body come on come on rock that body rock that body rock that body come on come on rock that body rock that body come on come on rock that body rock your body rock that body come on come on rorock thathat boody super fly ladies all of my super fly ladies all of my super fly ladies all of my super fly super fly ladies yeah you can be bigboned long as you feel like you own you could be the model type skinny with no appetite short stack black or white long as you do what you like body out of sight body body out of sight she does the two step and the tongue drop she does the cabbage patch and the bus stop she like electro she love hip hop she like the reggae she feel punk rock she likes samba and the mambo she like to break dance and calypso get a lil crazy get a lil stupid get a lil crazy crazy crazy i wanna dance i wanna dance in the light i wanna rock i wanna rock your body i wanna go i wanna go for a ride hop in the music and rock your body right rock your body right rock your body right come on yeah rock that body come on come on rock that body come on ya rock that body come on come on rock that body go oh oh oh oh oh oh oh now go oh oh oh oh oh oh oh now go oh oh oh oh oh oh oh now go oh oh oh oh oh oh oh i wanna i wanna rock right now i wanna i wanna rock i wanna i wanna rock now go oh oh oh oh oh oh oh i wanna i wanna rock i wanna i wanna rock now go oh oh oh oh oh oh oh now go oh oh oh oh oh oh oh i wanna i wanna rock right now i wanna i wanna rock right now i wanna i wanna rock right now now now rock right now i wanna i wanna rock right now i wanna i wanna rock right now i wanna i wanna rock right now
76,secrets,onerepublic,2010, i need another story something to get off my chest my life gets kinda boring need something that i can confess til all my sleeves are stained red from all the truth that ive said come by it honestly i swear thought you saw me wink no ive been on the brink sotell me what you want to hear something that will light those ears sick of all the insincere im gonna give all my secrets away this time dont need another perfect lie dont care if critics ever jump in line im gonna give all my secrets awaymy god amazing how we got this far its like were chasing all those stars whos driving shiny big black cars and everyday i see the news all the problems that we could solve and when a situation rises just write it into an album send it straight to gold i dont really like my flow no sotell me what you want to hear something that are like those years sick of all the insincere im gonna give all my secrets away this time dont need another perfect lie dont care if critics never jump in line im gonna give all my secrets awayoh got no reason got no shame got no family i cant blame just dont let me disappear imma tell you everythingso tell me what you want to hear something thatll light those ears sick of all the insincere im gonna give all my secrets away this time dont need another perfect lie dont care if critics never jump in line im gonna give all my secrets awayso tell me what you want to hear something that delight those ears sick of all the insincere im gonna give all my secrets away this time dont need another perfect lie dont care if critics ever jump in line im gonna give all my secrets away all my secrets away all my secrets away 
77,naturally,selena gomez  the scene,2010,how you choose to express yourself its all your own and i can tell it comes naturally it comes naturally you follow what you feel inside its intuitive you dont have to try it comes naturally it comes naturally and it takes my breath away what you do so naturally you are the thunder and i am the lightning and i love the way you know who you are and to me its exciting when you know its meant to be everything comes naturally it comes naturally when youre with me baby everything comes naturally it comes naturally baybaybaby you have a way of moving me a force of nature your energy it comes naturally it comes naturally yeah and it takes my breath away what you do so naturally you are the thunder and i am the lightning and i love the way you know who you are and to me its exciting when you know its meant to be everything comes naturally it comes naturally when youre with me baby everything comes naturally it comes naturally baybaybaby when we collide sparks fly when you look in my eyes it takes my breath away you are the thunder and i am the lightning and i love the way you know who you are and to me its exciting when you know its meant to be everything comes naturally it comes naturally when youre with me baby everything comes naturally it comes naturally baybaybaby naturally naturally naturally baybaybaby naturally naturally naturally everything baby comes naturally naturally naturally everything baby comes naturally
